module,variable_name,label,question_text,response_options,waves,in_public_data
Covid,no_appt_other_text,"why not able to make appt? - other, text",Why were you unable to make an appointment to get vaccinated? Mark all that apply. - Other - Text,if able to make a vaccine appointment = No,10,False
Automation &amp; Surveillance,tech_pickup,tech  - customer use device to order online,Does your [EMPLOYERNAME] workplace use any of the following technologies to complete or assist with orders and sales? Mark all that apply. - Selected Choice - Customers use a website or app to order online and pick up in the store.,"if workplace != hotel, warehouse, fulfillment center, delivery, corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,tech_order,tech - customer use device to order in store,Does your [EMPLOYERNAME] workplace use any of the following technologies to complete or assist with orders and sales? Mark all that apply. - Selected Choice - Customers use in-store tablets or computers to place their orders.,"if workplace != hotel, warehouse, fulfillment center, delivery, corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,tech_eeorder,tech - employee use device to place order,"Does your [EMPLOYER] workplace use any of the following technologies to complete or assist with orders and sales? Mark all that apply. - Selected Choice - Employees use in-store tablets, handheld devices, or computers to place orders for customers.","if workplace != hotel, warehouse, fulfillment center, delivery, corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,tech_selfcheckout,tech - self check out,Does your [EMPLOYER] workplace use any of the following technologies to complete or assist with orders and sales? Mark all that apply. - Selected Choice - Customers use self-checkout registers or apps in the store.,"if workplace != hotel, warehouse, fulfillment center, delivery, corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,tech_eecheckout,tech - employees use handheld device at check out,Does your [EMPLOYER] workplace use any of the following technologies to complete or assist with orders and sales? Mark all that apply. - Selected Choice - Employees use tablets or handheld devices to check out customers.,"if workplace != hotel, warehouse, fulfillment center, delivery, corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,tech_salesother,tech - other sales technology used,Does your [EMPLOYER] workplace use any of the following technologies to complete or assist with orders and sales? Mark all that apply. - Selected Choice - Other (specify),"if workplace != hotel, warehouse, fulfillment center, delivery, corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,tech_salesnone,tech - no sales technology used,Does your [EMPLOYER] workplace use any of the following technologies to complete or assist with orders and sales? Mark all that apply. - Selected Choice - None of these,"if workplace != hotel, warehouse, fulfillment center, delivery, corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,tech_salesother_text,"tech - other sales technology used, text",Does your [EMPLOYER] workplace use any of the following technologies to complete or assist with orders and sales? Mark all that apply. - Other (specify) - Text,"if workplace != hotel, warehouse, fulfillment center, delivery, corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,techstress,technology increases stress,Do you agree or disagree: The use of technology to assist with orders and sales makes my job... - More stressful,if count of tech_* questions &gt; 0,"7, 8, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,techhard,technology makes job harder,Do you agree or disagree: The use of technology to assist with orders and sales makes my job... - More difficult,if count of tech_* questions &gt; 0,"7, 8, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,techjoy,technology makes job more fun,Do you agree or disagree: The use of technology to assist with orders and sales makes my job... - More enjoyable,if count of tech_* questions &gt; 0,"7, 8, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,tech_stock,machine -  stock shelves,Does your [EMPLOYER] workplace use any other workplace technologies? Mark all that apply. - Selected Choice - Robots that stock shelves or move boxes,"if workplace != corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Automation &amp; Surveillance,tech_inventory,machine - take inventory,Does your [EMPLOYER] workplace use any other workplace technologies? Mark all that apply. - Selected Choice - Robots that take inventory,"if workplace != corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Automation &amp; Surveillance,tech_service,machine -  provide customer service,Does your [EMPLOYER] workplace use any other workplace technologies? Mark all that apply. - Selected Choice - Robots that provide customer service,"if workplace != corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Automation &amp; Surveillance,tech_money,machine- counts money,Does your [EMPLOYER] workplace use any other workplace technologies? Mark all that apply. - Selected Choice - A machine that counts money,"if workplace != corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Automation &amp; Surveillance,tech_food,machine - cooks or prepares food,Does your [EMPLOYER] workplace use any other workplace technologies? Mark all that apply. - Selected Choice - Robots that cook or prepare food,"if workplace != corporate office or training center, call center, or other.","14, 15, 16, 17",False
Automation &amp; Surveillance,tech_ai_customer_service,workplace ai - provide customer service,Does your [EMPLOYER] workplace use any other workplace technologies? Mark all that apply. - Selected Choice - Artificial intelligence (AI) that assists with customer service such as a chat bot,"if workplace != corporate office or training center, call center, or other.","15, 16, 17",False
Automation &amp; Surveillance,tech_ai_predict_demand,workplace ai - predicts business trends,Does your [EMPLOYER] workplace use any other workplace technologies? Mark all that apply. - Selected Choice - AI that helps predict demand for certain items or what the busy periods are going to be,"if workplace != corporate office or training center, call center, or other.","15, 16, 17",False
Automation &amp; Surveillance,tech_ai_task_order,workplace ai - optimizes tasks,"Does your [EMPLOYER] workplace use any other workplace technologies? Mark all that apply. - Selected Choice - AI that optimizes the order of tasks, such as picking items in a certain order or taking a particular delivery route","if workplace != corporate office or training center, call center, or other.","15, 16, 17",False
Automation &amp; Surveillance,tech_other,machine -  does other tasks,Does your [EMPLOYER] workplace use any other workplace technologies? Mark all that apply. - Selected Choice - Other:,"if workplace != corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Automation &amp; Surveillance,tech_none,machine - does no tasks,Does your [EMPLOYER] workplace use any other workplace technologies? Mark all that apply. - Selected Choice - None of these,"if workplace != corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Automation &amp; Surveillance,tech_other_text,"machine - does other tasks, text",Does your [EMPLOYER] workplace use any other workplace technologies? Mark all that apply. - Other: - Text,"if workplace != corporate office or training center, call center, or other.","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Automation &amp; Surveillance,dutytech1yr,"predict some duties replaced by machines, 1 yr","Please mark how much you agree or disagree with the following statements: Some of my job duties at [EMPLOYER] will be replaced by technology (computers, online shopping, robots, etc.)... - within the next year",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,dutytech5yr,"predict some duties replaced by machines, 5 yrs","Please mark how much you agree or disagree with the following statements: Some of my job duties at [EMPLOYER] will be replaced by technology (computers, online shopping, robots, etc.)... - within the next 5 years",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,dutytechlife,"predict some duties replaced by machines, lifetime","Please mark how much you agree or disagree with the following statements: Some of my job duties at [EMPLOYER] will be replaced by technology (computers, online shopping, robots, etc.)... - within my lifetime",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,jobtech1yr,"predict job fully  replaced by machines, 1 yr","Please mark how much you agree or disagree with the following statements: My current job will be fully replaced by technology (computers, online shopping, robots, etc.)... - within the next year",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,jobtech5yr,"predict job fully replaced by machines, 5 yrs","Please mark how much you agree or disagree with the following statements: My current job will be fully replaced by technology (computers, online shopping, robots, etc.)... - within the next five years",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,jobtechlife,"predict job fully replaced by machines, lifetime","Please mark how much you agree or disagree with the following statements: My current job will be fully replaced by technology (computers, online shopping, robots, etc.)... - within my lifetime",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,speedvideo,how track speed? - video recordings,"At your  workplace, how does your employer keep...-Using video recordings",,"7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,speedbadge,how track speed? -badge or band,"At your workplace, how does your employer keep...-Using a wristband or a badge that I wear",,"7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,speedobserve,how track speed? - observed by manager,"At your workplace, how does your employer keep...-By my supervisor(s) directly observing me",,"7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,speedother,how track speed? - other,"At your workplace, how does your employer keep...-Other (specify)",,"7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,speedother_text,"how track speed? - other, text","At your workplace, how does your employer keep...-Other (specify)-TEXT",,"7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,speedregister,how track speed? - cash register data,"At your workplace, how does your employer keep...-Using data recorded by a cash register, computer, or similar device",,"7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,speedhandheld,how track speed? - handheld device I carry,"At your workplace, how does your employer keep...-Using a handheld device that I carry",,"7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,speednotrack,how track speed? - does not track,"At your workplace, how does your employer keep...-My employer does not track the speed of my work",,"7, 8, 9, 10, 11, 12, 13, 14, 16, 17",False
Automation &amp; Surveillance,leaderboard,is there a leaderboard at work?,"At your workplace, is there a leaderboard or o...",,"7, 8, 9, 10, 11, 12, 13, 14, 16",False
Automation &amp; Surveillance,leaderboard_fun,leaderboard makes job more fun?,Do you agree or disagree: The leaderboard or dashboard makes my job more fun. ,if leaderboard = yes,"7, 8, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,leaderboard_stress,leaderboard makes job more stressful?,Do you agree or disagree: The leaderboard or dashboard makes my job more stressful. ,if leaderboard = yes,"7, 8, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,managerspeed,freq manager provide feedback on speed of work,"At your [EMPLOYER] workplace, how often does your manager provide feedback on the speed of your work?",if how  employer keep track of speed = does not track,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,autospeed,freq get info about speed of work from automated tech,"At your [EMPLOYER] workplace, how often do you get information about the speed of your work from a computer, tablet, device, or some other automated technology?",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,speedreward_card,speed reward - gift card,"Do [EMPLOYER] employees who work most quickly receive any special rewards like gift cards, paid time off, or bonuses? Mark all that apply. - Selected Choice - Yes, gift cards",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,speedreward_pto,speed reward - paid time off,"Do [EMPLOYER] employees who work most quickly receive any special rewards like gift cards, paid time off, or bonuses? Mark all that apply. - Selected Choice - Yes, paid time off",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,speedreward_bonus,speed reward - bonus pay,"Do [EMPLOYER] employees who work most quickly receive any special rewards like gift cards, paid time off, or bonuses? Mark all that apply. - Selected Choice - Yes, bonus pay",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,speedreward_other,speed reward - other,"Do [EMPLOYER] employees who work most quickly receive any special rewards like gift cards, paid time off, or bonuses? Mark all that apply. - Selected Choice - Yes, another reward:",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,speedreward_other_text,"speed reward - other, text","Do [EMPLOYER] employees who work most quickly receive any special rewards like gift cards, paid time off, or bonuses? Mark all that apply. - Yes, another reward: - Text",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,speedreward_none,speed reward - none,"Do [EMPLOYER] employees who work most quickly receive any special rewards like gift cards, paid time off, or bonuses? Mark all that apply. - Selected Choice - No reward",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,speedreward_dkr,speed reward - don’t know,"Do [EMPLOYER] employees who work most quickly receive any special rewards like gift cards, paid time off, or bonuses? Mark all that apply. - Selected Choice - Don't know/refuse",,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,slowfired,too slow - more likely to be fired,Please mark how true the following statement is at your [EMPLOYER] workplace: Workers are more likely to be fired if they do not work quickly enough.,,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,slowworsetask,too slow - get less desirable tasks,Please mark how true the following statement is at your [EMPLOYER] workplace: Workers will be assigned to less desirable tasks if they do not work quickly enough.,,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,slowworsesched,too slow - worse schedules,Please mark how true the following statement is at your [EMPLOYER] workplace: Workers will be given worse schedules if they do not work quickly enough.,,"7, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,shiftreport,how report times begin and end shift?,"At your workplace, how do you report the times...",,"7, 8, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,shiftreport_text,"how report times begin and end shift?, text","At your workplace, how do you report the times...-TEXT",,"7, 8, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,clockinlostpay,how many times lost pay due to technical difficulties clocking in/out,"At your workplace, how often have you lost pay...",,"7, 8, 9, 10, 11, 12, 13, 14",False
Automation &amp; Surveillance,clockinlostpay_text,how many times lost pay due to technical difficulties clocking in/out - text,"At your workplace, how often have you lost pay… - text",,14,False
Automation &amp; Surveillance,work_involves_speed,job involves working at very high speed,Does your job involve working at very high speed?,,"13, 14",False
Automation &amp; Surveillance,work_pace_coworkers,extent pace of work depends on - coworkers,"On the whole, is your pace of work dependent, or not, on - coworkers",,"13, 14",False
Automation &amp; Surveillance,work_pace_customers,extent pace of work depends on - customers,"On the whole, is your pace of work dependent, or not, on - customers",,"13, 14",False
Automation &amp; Surveillance,work_pace_perf_targets,extent pace of work depends on - performance/production targets,"On the whole, is your pace of work dependent, or not, on - production or performance targets",,"13, 14",False
Automation &amp; Surveillance,work_pace_machine,extent pace of work depends on - speed of machine or product movement,"On the whole, is your pace of work dependent, or not, on - speed of machine or movement of product",,"13, 14",False
Automation &amp; Surveillance,work_pace_boss,extent pace of work depends on - boss,"On the whole, is your pace of work dependent, or not, on - boss",,"13, 14",False
Automation &amp; Surveillance,tech_monitor_location,extent employer uses tech to monitor - location at work,Please indicate how much your [EMPLOYER NAME] employer uses technology to monitor - where you go in your workplace,,"13, 14, 15, 16, 17",False
Automation &amp; Surveillance,tech_monitor_actions,extent employer uses tech to monitor - activity at work,Please indicate how much your [EMPLOYER NAME] employer uses technology to monitor - what you are doing in your workplace,,"13, 14, 15, 16, 17",False
Automation &amp; Surveillance,tech_monitor_interactions,extent employer uses tech to monitor - who respondent is with at work,Please indicate how much your [EMPLOYER NAME] employer uses technology to monitor - who you are with in your workplace,,"13, 14, 15, 16, 17",False
Automation &amp; Surveillance,tech_monitor_conversations,extent employer uses tech to monitor - what respondent says at work,Please indicate how much your [EMPLOYER NAME] employer uses technology to monitor - what you say in your workplace,,"13, 14, 15, 16, 17",False
Automation &amp; Surveillance,tech_monitor_quality,extent employer uses tech to monitor - work quality,Please indicate how much your [EMPLOYER NAME] employer uses technology to monitor - the quality of your work,,"13, 14, 15, 16, 17",False
Automation &amp; Surveillance,employer_respects_privacy,extent employer respects privacy,Please indicate how much your [EMPLOYER NAME] employer - respects your privacy,,"13, 14, 16",False
Automation &amp; Surveillance,employer_trusts_you,extent employer trusts - respondent,Please indicate how much your [EMPLOYER NAME] employer - trusts you,,"13, 14, 16",False
Automation &amp; Surveillance,employer_trusts_coworkers,extent employer trusts - coworkers,Please indicate how much your [EMPLOYER NAME] employer - trusts your coworkers,,"13, 14, 16",False
Automation &amp; Surveillance,employer_susp_steal_you,perceived employer's fear of - respondent stealing from company,Please indicate how much you feel that your [EMPLOYER NAME] employer - suspects that you will try to steal from the company,,"13, 14, 16",False
Automation &amp; Surveillance,emp_susp_steal_coworkers,perceived employer's fear of - coworkers stealing from company,Please indicate how much you feel that your [EMPLOYER NAME] employer - suspects that your co- workers will try to steal from the company,,"13, 14, 16",False
Automation &amp; Surveillance,employer_tracks_outside,perceived likelihood employer monitors respondent outside of work,How likely do you think it is that your employer monitors your behavior outside of work (such as by monitoring your online activity or tracking your location)?,,"13, 14, 15, 16",False
Automation &amp; Surveillance,punish_pay_deduct,punishment - having pay deducted,If you did not meet workplace expectations in a minor way (such as being late to work a few times or making mistakes with product) how likely are you to experience the following discipline or punitive practices? - Selected choice - Having your pay deducted,,17,False
Automation &amp; Surveillance,punish_neg_conseq,punishment - threatened with negative consequences,If you did not meet workplace expectations in a minor way (such as being late to work a few times or making mistakes with product) how likely are you to experience the following discipline or punitive practices? - Selected choice - Being threatened with negative job consequences,,17,False
Automation &amp; Surveillance,punish_demoted,punishment - demoted or denied promotion/raise,If you did not meet workplace expectations in a minor way (such as being late to work a few times or making mistakes with product) how likely are you to experience the following discipline or punitive practices? - Selected choice - Being demoted or denied a promotion or raise,,17,False
Automation &amp; Surveillance,punish_fired,punishment - being fired,If you did not meet workplace expectations in a minor way (such as being late to work a few times or making mistakes with product) how likely are you to experience the following discipline or punitive practices? - Selected choice - Being fired,,17,False
Automation &amp; Surveillance,punish_time_off,punishment - refused time off,If you did not meet workplace expectations in a minor way (such as being late to work a few times or making mistakes with product) how likely are you to experience the following discipline or punitive practices? - Selected choice - Having time off requests refused,,17,False
Automation &amp; Surveillance,punish_hours_cut,punishment - hrs cut or worse hrs,If you did not meet workplace expectations in a minor way (such as being late to work a few times or making mistakes with product) how likely are you to experience the following discipline or punitive practices? - Selected choice - Having your hours cut or receiving worse hours,,17,False
Automation &amp; Surveillance,punish_ridicule,"punishment - ridiculed, embarassed, or excluded at work","If you did not meet workplace expectations in a minor way (such as being late to work a few times or making mistakes with product) how likely are you to experience the following discipline or punitive practices? - Selected choice - Being ridiculed, embarassed, or excluded at work",,17,False
Automation &amp; Surveillance,punish_discip_talk,"punishment - displinary talk, written up, or more supervision","If you did not meet workplace expectations in a minor way (such as being late to work a few times or making mistakes with product) how likely are you to experience the following discipline or punitive practices? - Selected choice - A disciplinary talk, being written up, or greater supervision from your manager",,17,False
Health &amp; Wellbeing,happy,"happy, overall","Taken all together, how would you say things are these days? Would you say you are...",,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",True
PFML,njlv_complete_app,NJ FLA - completed application?,"Have you completed an application for New Jersey's Paid Family Leave program, also known as New Jersey Family Leave Insurance?",if in NJ,11,False
PFML,njlv_whynot_comp_app,"NJ FLA - tried to apply, why not complete app?",Why haven't you completed an application for New Jersey's Paid Family Leave program? - Selected Choice,if in NJ,11,False
PFML,njlv_whynot_comp_ap_oth_txt,"NJ FLA - tried to apply, why not complete app? Other, text",Why haven't you completed an application for New Jersey's Paid Family Leave program? - Other - Text,if in NJ &amp; didn't complete PFML application,11,False
PFML,njlv_try_whynot_comp,"NJ FLA - tried to apply, why not complete app?",Why didn't you complete the application? - Selected Choice,if in NJ &amp; didn't complete PFML application for reasons besides eligiblity,11,False
PFML,njlv_try_whynot_com_oth_txt,"NJ FLA - tried to apply, why not complete app? Other, text",Why didn't you complete the application? - Other - Text,if in NJ &amp; didn't complete PFML application for reasons besides eligiblity,11,False
PFML,njlv_app_support_paperwork,NJ FLA - paperwork assistance would help with applying,What information or support would have helped you to apply for the program? Check all that apply. - Selected Choice - A person to help you fill out the paperwork,if in NJ,11,False
PFML,njlv_app_support_elig,NJ FLA - help with eligibility questions would help with applying,What information or support would have helped you to apply for the program? Check all that apply. - Selected Choice - A person to answer questions about eligibility,if in NJ,11,False
PFML,njlv_app_support_educ_emp,NJ FLA - employer getting educated would help with applying,What information or support would have helped you to apply for the program? Check all that apply. - Selected Choice - A person to education my employer about the program,if in NJ,11,False
PFML,njlv_app_support_dashboard,NJ FLA - dashboard would help with applying,What information or support would have helped you to apply for the program? Check all that apply. - Selected Choice - A dashboard that shows me what I need to submit,if in NJ,11,False
PFML,njlv_app_support_other,NJ FLA - what would help with applying? Other,What information or support would have helped you to apply for the program? Check all that apply. - Selected Choice - Other,if in NJ,11,False
PFML,njlv_app_support_other_text,"NJ FLA - what would help with applying? Other, text",What information or support would have helped you to apply for the program? Check all that apply. - Other - Text,if in NJ,11,False
PFML,njlv_app_response,NJ FLA - received a response to your application?,Have you received a response to your application for paid family leave?,if in NJ &amp; completed a PFML application,11,False
PFML,njlv_app_approved,NJ FLA - application apprived?,Were you approved for paid leave benefits?,if in NJ &amp; received PFML application response,11,False
PFML,njlv_why_app_denied,NJ FLA - do you know why application denied?,Do you know why your application was denied?,if in NJ &amp; PFML application denied,11,False
PFML,njlv_why_app_denied_reason,NJ FLA - why was your application denied?,What was the reason? -text,if in NJ &amp; knows why PFML application denied,11,False
Unemployment Insurance,ui_app,completed an UI application?,"Have you completed an application for unemployment insurance since being laid off, being furloughed, or quitting your job?","If laid off, furloughed, quit, or unidentified","8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Unemployment Insurance,ui_app_notcompleted,why not completed UI application?,Why haven't you completed an application for unemployment insurance? - Selected Choice,If UI App = not completed,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Unemployment Insurance,ui_app_notcompleted_text,"why not completed UI application? , text",Why haven't you completed an application for unemployment insurance? - Other: - Text,if ui_app_notcompleted = other,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Unemployment Insurance,ui_app_response,received response to UI application?,Have you received a response to your unemployment insurance application?,if UI App = completed,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Unemployment Insurance,ui_denied,reason UI application denied?,What was the reason your application for unemployment insurance was denied?,If respondent was not granted unemployment benefits,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Benefits &amp; Hardships,apply_snap2020,apply for SNAP in 2020?,"Did you apply for the SNAP program (also called ""food stamps"") in 2020?",if received SNAP 2020 == 0,9,False
Benefits &amp; Hardships,snap_whynot_alreadyreceive,why not apply for SNAP? - already receving SNAP,Why have you not applied for the SNAP program in 2020? Mark all that apply. - Selected Choice - I was already receiving SNAP,if apply SNAP 2020 == 0,9,False
Benefits &amp; Hardships,snap_whynot_ineligible,why not apply for SNAP? - ineligible,Why have you not applied for the SNAP program in 2020? Mark all that apply. - Selected Choice - I don't believe my household is eligible for SNAP,if apply SNAP 2020 == 0,9,False
Benefits &amp; Hardships,snap_whynot_noneed,why not apply for SNAP? - don’t need it,Why have you not applied for the SNAP program in 2020? Mark all that apply. - Selected Choice - I don't believe my household needs SNAP,if apply SNAP 2020 == 0,9,False
